size,First,Last,Middle,Random
10,0.0415,0.0465,0.068,0.237
20,0.0995,0.115,0.1145,0.4805
30,0.183,0.221,0.145,0.72455
40,0.27,0.3655,0.185,0.9555
50,0.3915,0.5595,0.244,1.217
60,0.527,0.788,0.2855,1.46305
70,0.6905,1.0515,0.321,1.699
80,0.87,1.37555,0.3875,1.9505
90,1.058,1.735,0.4385,2.17155
100,1.281,2.115,0.492,2.388
110,1.562,2.5985,0.5265,2.88655
120,1.8485,3.02855,0.5725,2.86805
130,2.1685,3.532,0.6465,3.11405
140,2.4835,4.08005,0.6845,3.3645
150,2.8385,4.693,0.721,3.6091
160,3.232,5.51155,0.7605,3.92105
170,3.63805,6.0475,0.835,4.10255
180,4.05405,6.80705,0.8995,4.375
190,4.47955,7.722,0.935,4.65005
200,4.9465,8.3855,1.0105,4.94015
210,5.4165,9.30105,1.049,5.35905
220,5.9156,10.1805,1.084,5.31055
230,6.43055,11.1216,1.1355,5.6375
240,6.95305,12.2775,1.2045,5.9376
250,13.0631,13.4161,1.289,6.42355
260,8.08305,14.1577,1.323,6.47755
270,8.6716,15.459,1.351,6.77655
280,9.3215,16.5726,1.3925,6.8696
290,9.90605,17.6227,1.4615,7.29855
300,10.5512,19.0851,1.512,7.547
310,11.2176,20.2071,1.54355,7.88605
320,15.3277,21.9675,1.60355,8.12205
330,12.7491,22.8331,1.69555,8.385
340,13.4765,24.2246,1.6945,8.4276
350,14.1672,25.722,1.731,8.9246
360,15.5091,27.4766,1.8235,9.14715
370,15.7961,29.0067,1.867,9.69105
380,16.6132,30.1682,1.9555,9.62105
390,17.4202,31.6757,1.9985,9.9885
400,18.2751,33.4817,2.0595,10.1391
410,18.9516,35.1412,2.13655,10.654
420,19.8361,37.1397,2.166,10.6481
430,20.7767,38.7542,2.202,10.9956
440,21.662,40.6215,2.2445,11.3375
450,22.6041,42.4404,2.287,11.726
460,23.5701,44.3783,2.394,12.0346
470,24.5437,46.1588,2.4185,12.0556
480,25.5822,58.8924,2.4545,12.1871
490,26.7277,50.1497,2.5245,12.5347
500,27.7617,52.0673,2.59105,12.7106
510,28.6732,54.0583,2.67355,13.2017
520,30.3083,56.5538,2.709,13.467
530,31.0478,58.5059,2.76605,13.5566
540,32.1727,60.6604,2.82455,13.959
550,33.1558,62.8474,2.9115,14.228
560,34.3383,65.1575,2.9205,14.3915
570,35.5177,67.5449,3.128,14.6181
580,36.6938,69.68,3.14905,15.0896
590,38.0737,72.3059,3.0945,15.1987
600,39.2317,74.7306,3.1125,15.4576
610,40.5922,77.0781,3.239,15.6846
620,41.7274,79.987,3.22805,15.9666
630,43.0062,82.5736,3.28305,16.428
640,44.5146,84.7702,3.33505,16.7431
650,45.9845,87.3015,3.4025,16.89
660,47.2502,89.989,3.48505,17.2563
670,48.4633,93.3272,3.5525,17.217
680,52.1089,106.386,3.61005,17.7461
690,51.2588,98.2532,3.6305,18.1876
700,52.8804,101.256,3.7065,18.1016
710,54.2819,104.281,3.756,18.7561
720,55.7724,106.65,3.832,18.7922
730,57.4829,110.034,3.85,19.0731
740,59.1648,112.764,3.94,19.5736
750,61.074,115.569,3.9835,19.6071
760,62.2053,118.64,4.08455,20.0086
770,63.5249,122.172,4.2985,19.7561
780,65.2704,125.573,4.18655,20.3017
790,66.7709,128.336,4.20055,20.6742
800,68.6565,131.832,4.29155,20.7732
810,69.9833,134.911,4.346,21.2022
820,72.3169,138.276,4.4485,21.5882
830,73.8905,141.959,4.48505,21.6491
840,74.9706,145.09,4.51355,22.2316
850,76.6541,148.684,4.561,22.2141
860,78.7959,151.945,4.6285,22.5358
870,80.5271,155.151,4.8365,22.7586
880,82.129,159.228,4.763,23.2707
890,84.1095,162.485,4.939,23.4037
900,86.2002,176.372,4.87105,23.5711
910,88.0646,169.718,4.97155,24.0678
920,89.5146,173.793,4.97,24.1792
930,91.4458,177.252,5.11,24.8411
940,93.4751,180.889,5.2725,24.4805
950,95.4334,185.15,5.214,24.9545
960,97.3576,188.968,5.256,25.1147
970,99.6992,192.379,5.27655,25.3458
980,101.099,196.992,5.34655,25.3772
990,103.017,200.893,5.4116,26.0277
1000,106.53,204.366,5.519,26.5467
1010,108.016,208.805,5.531,26.7706
1020,109.58,213.514,5.6251,26.6897
1030,111.95,217.919,5.65155,27.0937
1040,113.855,221.135,5.70905,27.4087
1050,115.857,235.097,5.8635,27.8458
1060,118.1,229.666,5.81655,27.7931
1070,120.154,233.76,5.831,28.547
1080,122.665,238.05,5.876,28.3968
1090,125.075,242.418,5.9655,28.5782
1100,126.833,247.214,6.0245,29.7146
1110,129.344,251.488,6.075,29.3478
1120,131.663,255.857,6.29155,29.7158
1130,134.188,260.667,6.32755,30.4041
1140,136.082,264.964,6.2146,30.3472
1150,138.228,269.899,6.4005,30.3727
1160,140.943,274.134,6.343,31.0082
1170,144.632,290.621,6.709,31.0774
1180,146.102,284.407,6.47955,31.402
1190,148.402,289.043,6.5831,31.4887
1200,150.663,293.066,6.6731,31.8042
1210,152.334,298.825,6.62955,31.5337
1220,154.788,314.237,6.674,32.1997
1230,158.904,307.834,6.78105,32.5532
1240,161.121,313.055,6.87705,32.7898
1250,162.829,318.056,7.01205,32.7493
1260,165.694,323.462,6.9375,33.2507
1270,167.716,337.811,7.106,33.8782
1280,171.845,344.132,7.306,33.8943
1290,173.087,338.22,7.18355,34.6147
1300,175.873,343.721,7.18355,34.3112
1310,178.377,349.252,7.32255,34.8282
1320,181.453,364.701,7.28155,35.3063
