size,First,Last,Middle,Random
10,0.052,0.0545,0.0675,0.257
20,0.14,0.13505,0.1155,0.542
30,0.194,0.2405,0.1665,0.818
40,0.2935,0.3815,0.206,1.0845
50,0.426,0.577,0.267,1.365
60,0.847,0.809,0.3015,1.56155
70,0.743,1.082,0.348,1.8885
80,0.93,1.37755,0.385,2.071
90,1.15505,1.737,0.439,2.4515
100,1.3885,2.126,0.4745,2.5655
110,1.613,2.544,0.52705,2.8705
120,1.9405,3.00855,0.5985,3.1465
130,2.256,3.6845,0.68505,3.449
140,2.585,4.074,0.6785,3.7456
150,2.953,4.68305,0.755,3.9625
160,3.348,5.3316,0.7835,4.263
170,3.74155,6.13555,0.845,4.5695
180,4.4775,6.83955,0.90505,4.97205
190,4.8665,7.73755,0.9875,5.17805
200,5.05855,8.38305,1.0265,5.52205
210,5.67905,9.1725,1.0535,5.59405
220,6.3861,10.1106,1.1275,5.958
230,6.8535,11.0491,1.16155,6.208
240,7.44655,12.1946,1.2135,6.4915
250,8.09305,13.0466,1.247,6.71705
260,8.83655,14.0735,1.33105,7.0396
270,9.3381,15.6025,1.379,7.3691
280,10.1101,16.3651,1.4015,7.676
290,11.1001,17.5236,1.4425,7.741
300,11.5561,18.7852,1.5125,8.33555
310,12.6256,20.3016,1.59705,8.435
320,13.1936,21.3541,1.59055,8.82755
330,14.3666,23.0107,1.82605,8.953
340,15.3481,24.5038,1.722,9.232
350,15.8637,25.683,1.82155,9.74055
360,16.5541,26.9101,1.8301,9.618
370,17.4492,28.4116,1.88605,10.3815
380,19.4182,29.8817,1.9645,10.3355
390,19.5801,31.6177,2.0225,10.646
400,20.4532,33.0793,2.074,10.9995
410,21.0171,34.9098,2.14005,11.3191
420,23.1156,37.4293,2.27,11.6957
430,23.8414,38.141,2.249,12.039
440,24.4507,40.4441,2.26705,12.4516
450,25.4897,41.9278,2.33555,12.6801
460,27.4816,43.9394,2.3915,12.5465
470,27.1892,45.9853,2.463,12.8916
480,29.1217,47.7293,2.53605,13.047
490,30.1447,49.9188,2.5895,13.4121
500,31.7068,51.4194,2.7855,13.8296
510,33.1349,53.8648,2.723,13.9395
520,34.0307,55.6314,2.712,14.2921
530,35.7481,57.8864,2.7855,14.7906
540,36.7493,60.4534,2.854,15.4606
550,37.9572,62.1699,2.8605,15.4107
560,38.7052,65.0528,2.94705,15.6406
570,42.1367,66.6691,3.0675,16.0297
580,42.2598,69.4179,3.0845,16.2761
590,43.6902,71.7869,3.19205,16.4081
600,45.4673,74.139,3.1816,16.4325
610,46.5388,76.5881,3.2285,16.7481
620,47.6394,79.0975,3.27005,17.3925
630,49.6325,81.4335,3.32815,17.6152
640,51.0768,84.1021,3.35165,17.8255
650,52.7795,86.839,3.4525,18.211
660,54.796,89.4734,3.52605,18.6461
670,56.2874,92.6582,3.627,18.6491
680,57.4814,94.6675,3.64355,18.7487
