size,First,Last,Middle,Random
10,0.194,0.159,0.259,0.341
20,0.414,0.3495,0.511,0.7595
30,0.67405,0.5355,0.826,1.167
40,0.8965,0.737,1.135,1.578
50,1.158,0.9625,1.41955,2.062
60,1.4075,1.193,1.774,2.50405
70,1.5305,1.341,1.95505,2.649
80,1.7665,1.43255,2.9555,2.9165
90,1.9465,1.605,2.35905,3.3535
100,2.1495,1.8055,2.6925,3.68105
110,2.394,2.0155,3.0025,4.0546
120,2.77955,2.235,3.277,4.42105
130,2.882,2.427,3.55705,4.85755
140,3.1175,2.654,3.8351,5.1975
150,3.378,2.869,4.2925,5.62455
160,3.59555,3.07,4.45455,6.0355
170,3.8485,3.2971,4.68505,6.3595
180,4.12805,3.449,5.04655,6.67055
190,4.22505,3.617,5.145,7.02855
200,4.495,3.89965,5.467,7.551
210,4.7965,4.00505,5.67455,7.78555
220,5.01,4.42305,6.09155,8.26105
230,5.2691,4.4801,6.353,8.589
240,5.536,4.72505,6.73155,9.06205
250,5.8045,4.9551,6.975,9.4111
260,6.06905,5.2545,7.41855,9.8151
270,6.3402,5.4355,7.6025,10.2355
280,6.625,5.68905,7.96005,10.6991
290,6.92955,6.12255,8.23355,10.9801
300,7.155,6.1506,8.6395,11.4696
310,7.456,6.39905,9.0936,11.9385
320,7.744,6.7535,9.4085,12.7577
330,8.0895,6.96,9.7841,13.1911
340,8.4221,7.20105,9.9325,13.4851
350,8.70355,7.4396,10.2435,13.7952
360,8.848,7.5791,10.4485,14.2756
370,9.26655,7.8896,10.8795,14.5646
380,9.5771,8.10205,11.1666,14.82
390,9.6985,8.52055,11.4382,15.3471
400,9.9856,8.63905,11.8941,15.5371
410,10.2051,8.82405,12.1336,16.1817
420,10.5678,9.0826,12.566,22.196
430,10.9517,9.41805,12.917,16.8785
440,11.1355,9.731,13.1496,17.4142
450,11.3546,9.8136,13.4086,17.9731
460,11.9606,9.95155,13.7276,18.2937
470,11.9951,10.5535,13.9931,18.9686
480,12.2615,10.7056,14.5781,19.0401
490,12.591,10.814,14.7706,19.7352
500,12.895,11.2581,15.0941,20.2582
510,13.2116,11.4196,15.6396,20.4142
520,13.5431,11.7606,15.6316,21.0491
530,13.8552,11.7991,16.1425,21.2802
540,14.1517,12.051,16.4791,21.7822
550,14.4511,12.3166,16.8686,22.4521
560,14.7796,12.5751,17.2796,22.3832
570,14.965,13.112,17.8431,22.9587
580,15.3351,13.3535,17.6571,23.3797
590,15.533,13.4127,18.2423,24.1335
600,15.8145,13.8452,18.5558,24.7595
610,16.0925,13.896,18.9325,25.0635
620,16.4025,14.201,19.5735,25.228
630,16.6921,14.7217,19.5072,25.9325
640,17.3616,14.7565,19.7157,26.1732
650,17.3176,14.9666,20.5821,26.7187
660,17.74,15.2006,20.9571,27.0688
670,18.0436,15.7711,21.0837,27.4666
680,18.3882,15.6701,21.3286,27.8461
690,18.919,16.0247,21.6692,28.2232
700,18.7662,16.3171,21.9261,29.0951
710,19.1576,16.5801,22.4351,29.5372
720,19.2077,16.9122,22.6251,30.4112
730,19.8131,17.2452,23.2096,29.9877
740,20.1946,17.5201,23.3377,30.7686
750,20.4302,17.6701,23.8731,31.0572
760,20.6247,17.7891,24.2157,31.6147
770,21.2916,18.149,24.2523,31.9371
780,21.6141,18.5107,24.7805,32.4539
790,21.7971,18.8125,25.4029,32.9166
800,21.9114,19.199,25.5343,33.3365
810,22.523,19.3147,26.0376,33.7303
820,22.6832,19.5821,26.4318,34.3872
830,23.2126,19.8191,26.6177,34.6727
840,23.2846,20.0297,26.8776,35.5783
850,23.6682,20.3776,27.3312,35.3877
860,24.2271,20.4366,27.8806,35.8512
870,24.1701,21.0016,28.2031,36.4818
880,24.4701,21.3732,28.4216,36.9322
890,24.8152,21.6088,28.8251,37.5157
900,25.0116,21.6726,29.3332,37.9918
910,25.6556,22.0602,29.5568,38.2252
920,25.5776,22.2437,29.9676,38.6648
930,26.4546,23.1686,30.1522,39.0013
940,26.5067,22.5842,31.1837,39.4042
950,26.8927,22.9872,31.3067,39.9843
960,27.0972,23.7507,31.4382,40.6203
970,27.5353,23.5087,31.5921,41.3018
980,27.7337,23.9281,32.0382,41.4373
990,28.2467,24.0791,32.9078,41.9517
1000,28.2962,24.6876,32.6162,42.4963
1010,28.5787,25.0357,32.9838,42.8802
1020,29.1892,25.0392,33.6183,43.1947
1030,29.3327,25.1796,34.2137,44.0007
1040,29.6968,25.8272,34.3447,44.0483
1050,29.9498,25.8528,34.8267,44.8217
1060,30.7432,26.2877,35.1106,46.4299
1070,30.4045,26.3558,35.2427,52.2365
1080,31.0694,26.6471,35.7146,46.3322
1090,31.2711,26.9621,36.2392,46.5488
1100,32.0097,27.2741,36.1347,47.3109
1110,32.0387,27.6037,36.9525,47.0715
1120,32.3585,27.8556,37.0609,47.942
1130,32.6316,28.2091,37.238,48.4596
1140,32.8448,28.2941,37.8175,48.7325
1150,33.421,28.573,38.403,49.132
1160,33.8729,29.1572,38.5442,49.7722
1170,33.761,29.5103,39.0927,50.1765
1180,34.184,29.7241,39.2715,50.6245
1190,34.7821,29.6876,39.8348,51.348
1200,34.6077,30.1723,40.1962,51.7244
1210,35.4528,30.2777,40.2773,52.3156
1220,35.7922,31.1807,40.6962,52.4485
